symbol
GNLN
LGMK
PLRZ
TSLL
SOXL
IBO
NVDA
FRGT
CNEY
RSLS
TSLZ
TSLA
KIDZ
SQQQ
PLTR
PLUG
AAPL
DGLY
TQQQ
SOXS
NITO
BBAI
F
SPXS
WOLF
SNAP
AIFU
AMZN
AAL
RGTI
MSTU
DNN
LCID
BTOG
INTC
SPY
FXI
HOOD
MARA
XYZ
RIOT
HL
SOFI
HIMS
BTE
BTG
PSLV
SMCI
FUBO
IBIT
QBTS
MSTZ
JBLU
OPEN
NU
PFE
BAC
HYG
ACHR
AMCR
QQQ
KDP
IQ
CLIK
AGNC
XLF
LYG
BBD
EEM
AGMH
WULF
APLD
RIG
GRAB
ABEV
TLT
WW
WBD
MSFT
IWM
AMD
NVDQ
RDDT
SOUN
ERIC
NVNI
PONY
VRN
NIO
KWEB
CCL
RIVN
NGD
AUR
NCLH
GOOGL
CMCSA
META
SMST
IONQ
ADIL
T
CLF
EJH
SPRC
CLSK
TLRY
UBER
TSM
BKLN
VALE
TSLQ
AG
SPHL
HLN
ARDX
HEPA
LQD
ASTS
TZA
PAPL
RXRX
GOLD
NVDX
FAZ
MU
CSCO
PTPI
CNH
IREN
WFC
PBR
BABA
SPXU
HBAN
AES
AVGO
VOD
AMDL
NVDL
ITUB
GOOG
BON
BB
XOM
ET
NIVF
NEOG
WMT
NOK
XLE
MSTR
SES
STLA
MRVL
PINS
ADPT
CDE
HPE
SOPA
VZ
KGC
TSLS
BCS
RBLX
LUMN
XLP
EFA
NKE
CVE
ADT
WRD
CVS
BIL
GDX
SCHD
BMY
DNB
ON
KVUE
CFLT
SLV
DAL
SGOV
EXK
JOBY
ROKU
QUBT
LUV
OGN
CGCTU
SBUX
EWZ
NVO
TGB
LRCX
NEE
SLB
C
RKT
QCOM
UMC
ALHC
CIFR
PCG
GOVT
LABD
AQN
NWL
RKLB
CAN
KO
FSM
JD
BULL
KEY
CVX
CART
TEM
TNA
TSLT
LUNR
MQ
GERN
IAG
VTRS
KRE
FCX
TEVA
MRK
CORZ
GM
OKLO
JPST
CSX
PTEN
UNH
ARKK
ORCL
HAL
ABNB
NXE
SHOP
VIAV
AEG
ANET
UVXY
SDS
HCTI
RDFN
QS
ASX
WCT
TTD
NVDD
DXCM
UUUU
VWO
BP
OXY
BDX
KMI
IJH
DHAI
SPDN
USHY
ZETA
CEPT
MLGO
W
PYPL
KSS
MSTX
AGG
VEA
EQX
BE
ABT
XLV
IOVA
XBI
MULN
STI
MPW
HUN
ASHR
KOS
MCHP
OWL
MSTY
SCHW
IEF
VLY
FFAI
PTON
LYFT
CRWV
PDD
VRT
HST
SPXL
TMF
USB
CMG
CYTK
BEN
TTWO
BIVI
INFY
PGX
AZUL
QID
NEM
PR
BITF
AVTR
UAA
ABR
UEC
ROIV
BA
GLD
KHC
UAL
HTZ
VNET
DOW
ARVN
TMC
DKNG
NLY
SIRI
LAES
VTEB
RNAZ
BTBT
SCHF
WDC
IEFA
CHPT
TEAM
PARA
SPIB
INZY
SRLN
NOVA
EQNR
HUMA
XLU
SCHG
CEP
QXO
IEMG
KOLD
TFC
HSAI
TSLG
WBA
CTRA
HOLX
SCHX
AMC
GDXD
OMEX
GPK
VFC
RCAT
HIVE
APH
GTENU
UPST
TXN
KULR
DIS
GGB
AFRM
SBSW
MRNA
ONCO
D
COTY
MDLZ
BSX
WEN
HBI
SMMT
BITX
MGM
BKR
STM
XLI
GEHC
JPM
PEP
TWLO
RUN
USO
GAP
RWM
GILD
APP
MO
GORO
BND
EXAS
COMP
SBIT
IAU
ULCC
COP
MS
MUB
HR
SONY
RSP
APA
X
XRT
SERV
PATH
EQT
XPEV
BCE
SHEL
DVN
SVIX
AAPU
BTI
SMH
FLG
TOST
ARRY
PDBC
TME
RZLV
ABBV
EOG
CX
CONY
VCSH
FOLD
TDOC
VICI
CWAN
LVS
PK
COMM
VOO
TSCO
SMR
YMM
KR
SPLG
STEM
PAA
YINN
SABR
CARR
COIN
U
NBIS
V
FND
JAAA
CGC
AMAT
UNG
PLTD
ELAB
LLY
SHLS
CELH
ETHA
GNW
EFIV
JNJ
DELL
ETN
WU
PACB
NUVB
EBAY
PLTU
EXC
MAT
JCI
NFE
AIG
XRX
JEPQ
TSHA
PG
PSQ
MDT
SH
SAN
UPS
HPQ
EWT
ALIT
M
ONDS
MOS
CPNG
VST
FTV
GME
GEVO
TRUG
FLR
PRTA
HUT
ESPR
UAMY
OKE
TAL
DOC
USFR
NI
GLNG
PBR.A
AA
QYLD
CNC
AZN
RF
XAIR
AR
ETSY
PPL
CTSH
DLTR
CAG
TGT
AGI
VCIT
SWTX
EPD
HMY
UPRO
DDOG
ARM
LBTYA
TIGR
RITM
EA
SPHY
CIG
DRH
GH
IYR
FIVN
CLOV
RTX
SDM
CHWY
INDA
BX
CZR
BRK.B
RR
ATEC
OHI
SCHH
EWJ
ENVX
ALT
ZI
CFG
BFLY
CLVT
MUFG
SPOT
PHYS
TSLY
AMRX
JEPI
KIDZW
UCO
PAGS
APLE
EOSE
XOP
AGL
SPTL
TJX
CL
GENI
PHAT
COF
CRH
SU
BORR
SM
PAAS
MVST
SMCX
SHV
FHN
SOXX
MGA
WMB
SHY
DASH
WIT
IR
AMGN
ETWO
DD
TPR
CRGY
KIM
MFG
QSI
PM
IGV
SVM
VKTX
GLW
BCRX
PFF
BTDR
FTAI
APO
SLS
BITO
HON
IVZ
ACI
AEO
CNQ
FIVE
SEM
BK
CRM
ORC
SENS
NTRP
LEG
CCCS
O
EL
GSK
RPAY
AMZU
EWY
CNK
XLB
AEM
OSCR
AAOI
PLD
FULC
IBN
HBM
ONON
BAX
TGTX
MNST
OLN
DBX
SGOL
CCJ
FNGD
IPG
ENPH
NWG
VGSH
VG
MUR
TROX
IJR
OVV
XLRE
SO
XLK
CRDO
CP
BTSG
KBSX
ATI
SPSB
YETI
MCD
BTU
LQDA
UVIX
ALK
VXX
APLT
AXL
TSN
MBB
IXHL
ES
AM
BGC
OCGN
SE
NAK
KKR
K
GLL
UROY
XEL
KNX
CHX
PANW
GE
JYD
GFI
MTCH
IBRX
CNP
ADI
FTNT
IP
FE
MLCO
NFLX
DG
GDXJ
GCTK
CAT
REAL
BURU
JNPR
SWK
FOXA
IBM
PCAR
BLDP
XLY
WVE
FI
BNDX
EC
SYK
JWN
TSLR
ROBN
RLJ
VXUS
TNFA
CNI
SWKS
TROW
NOV
HWM
NEO
ZIM
NVAX
PL
ABVE
SKX
GEV
DYNF
AIRS
VLRS
IVV
SG
CONL
SJNK
UWMC
NVST
XLC
LXRX
CCI
XHG
BMBL
WY
GIS
XP
ELAN
BRKR
AS
VIK
WSC
VGK
GT
ALB
NTLA
URG
ALKS
EGO
SCHB
INVH
NXPI
ED
SPTI
STX
AMH
SNOW
FSLR
KC
NVT
FEZ
CAH
STNE
URA
MET
OPCH
LYV
COHR
SAND
CLS
FAAS
PRMB
ONB
BHP
CEG
BBY
EMB
ARCC
OXLC
DJT
EW
BEKE
ABCL
ZBH
MP
SYF
TREE
ASM
CSGP
SAP
GO
FLEX
SHO
GDDY
IAUX
DB
ALAB
MAGS
BDN
FIS
TXG
CTVA
VTI
BBIO
EIX
DHR
TRGP
CPRT
VGIT
RPRX
ECX
SID
FOUR
IXUS
HLF
CHD
AXP
FNGB
ARR
LYB
COWZ
RGLS
VEU
SMTC
AMX
YUMC
BLMZ
DUOL
SPDW
PBF
GTES
SPTS
BLND
AI
DNUT
ENB
HLT
AUTL
TECK
BYON
PET
TU
CPRI
NAT
SILJ
HRL
CERT
HOG
UBS
BSV
NVTS
NG
CGDV
FL
UNP
OPK
VERV
ICE
ETR
ARMK
SANA
ENTG
UTZ
CUBE
VTR
TBIL
